Method,mse,psnr,ssim,lpips
neighbor,9.329880163555514e-08,71.24994903564453,0.9998343165715535,8.694956103227014e-05
bilinear,9.329879822495002e-08,71.24994926452636,0.9998343165715535,8.694962637036951e-05
bicubic,5.5096302773449676e-08,73.71445442199708,0.9999158096313475,5.4882371564417554e-05
max_pooling,9.960825695820575e-08,70.89820663452149,0.9995119102795919,3.945061803278804e-05
min_pooling,9.680316036764224e-08,71.05068496704102,0.9995477342605591,4.1878659176290965e-05
avg_pooling,2.2394613945486696e-08,77.68863189697265,0.9999727646509807,7.097043912835943e-06
l2_pooling,2.360169447768179e-08,77.45296409606934,0.9999639439582826,7.226366752774993e-06
random_conv2d,2.617318696995774e-08,76.98160896301269,0.9999652965863546,9.601997548998043e-06
mean_conv2d,2.518469426227021e-08,77.11945877075195,0.9999672079086304,8.715179058071954e-06
gaussion_conv2d,2.2621102384601243e-08,77.64020690917968,0.9999723879496258,7.132456594263203e-06
lanczos_conv2d,9.329879822495002e-08,71.24994926452636,0.9998343165715535,8.694962637036951e-05
